Fecha,Total,Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routeralausi),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routermanta),Vlan100(routertena),Vlan200(routertena),Vlan100(routerbalzar),Vlan200(routermanta),Vlan200(routerbalzar),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routeresmeraldas),Vlan100(routermontecristi),Vlan200(routermontecristi),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routeresmeraldas2),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routercoca),Vlan200(routercoca),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan200(routeresmeraldas2),Vlan2003(routergyea),Vlan1004(routergyei)
2020-05-16 08:00 - 10:00,535.21,0.95,1.81,6.35,4.69,-,3.42,0.01,-,0.7,0.59,1.0,1.11,0.54,0.36,0.0,0.0,0.25,0.13,0.0,0.37,0.41,0.04,0.0,0.27,0.0,0.3,0.26,2.83,3.02,0.25,0.23,3.47,4.3,0.51,-,0.85,1.06,0.61,1.15,7.02,4.67,0.0,0.0,0.3,0.37,3.31,4.34,0.31,0.56,0.63,0.49,6.95,0.6,0.24,0.54,6.13,-,3.89,3.36,3.06,3.25,3.27,4.47,0.12,0.0,0.07,0.21,-,0.18,-,0.1,0.0,0.52,0.5,0.98,0.85,0.24,0.43,0.45,1.1,0.0,0.1,0.01,0.05,0.04,0.05,0.16,0.0,-,0.0,0.39,0.0,2.29,0.59,0.48,0.47,0.2,0.27,-,9.32,-,-,3.77,3.02,1.27,11.72,11.72,1.08,1.61,14.51,7.56,10.23,9.13,8.3,10.2,6.85,6.92,9.67,10.0,6.43,7.19,4.9,4.76,0.06,0.68,1.2,0.55,0.1,0.05,0.0,4.41,5.11,5.34,5.47,12.84,14.08,10.3,9.3,8.46,7.56,3.58,5.64,-,7.17,9.8,-,3.43,-,13.56,10.92,11.72,7.52,11.8,11.16,12.17,-,15.93,12.67,11.31,6.54,6.83,4.6,4.9,3.35,-,-,-,-,-,-,2.95,1.52,-
2020-05-16 10:00 - 12:00,611.09,1.23,2.1,7.92,5.84,-,4.38,0.02,-,0.82,0.66,1.26,1.18,0.72,0.48,0.0,0.01,0.25,0.14,0.0,0.44,0.62,0.05,0.0,0.27,0.0,0.36,0.28,3.35,3.43,0.25,0.23,4.43,5.48,0.55,-,1.12,1.24,0.62,1.42,7.02,5.71,0.0,0.0,0.39,0.39,3.82,4.86,0.33,0.66,0.73,0.6,7.92,0.77,0.24,0.54,7.43,-,4.56,3.83,3.22,4.05,3.81,5.79,0.14,0.0,0.1,0.21,-,0.22,-,0.11,0.0,0.57,0.52,1.28,1.16,0.24,0.51,0.46,1.28,0.0,0.11,0.01,0.05,0.04,0.08,0.16,0.0,-,0.0,0.44,0.0,2.69,0.66,0.59,0.47,0.21,0.32,-,10.5,-,-,4.39,3.47,1.49,13.71,13.71,1.52,1.65,16.83,-,11.94,11.16,9.84,12.49,7.56,6.92,11.2,11.47,6.43,7.19,6.25,5.74,0.1,0.8,1.41,0.82,0.1,0.05,0.0,5.34,6.3,6.46,6.37,14.51,15.56,12.42,10.19,8.46,7.56,3.58,6.72,-,9.42,12.57,-,4.17,-,15.86,14.02,13.9,9.21,14.29,13.47,12.17,-,19.11,15.38,11.31,6.54,6.83,5.98,4.9,3.78,-,-,-,-,-,-,3.58,1.92,-
2020-05-16 12:00 - 14:00,607.71,1.37,2.24,7.92,6.54,-,4.68,0.03,-,0.9,0.86,1.26,1.22,0.8,0.5,0.0,0.01,0.37,0.14,0.0,0.58,0.62,0.05,0.0,0.24,0.0,0.41,0.35,3.64,3.96,0.25,0.23,4.84,6.2,0.65,-,1.25,1.33,0.79,1.54,-,6.35,0.0,0.0,0.39,0.39,4.46,5.58,0.38,0.72,0.86,0.66,7.92,0.77,0.21,0.56,7.97,-,4.6,4.19,3.99,4.52,4.39,6.25,0.14,0.0,0.14,0.25,-,0.23,-,0.11,0.0,0.65,0.61,1.36,1.24,0.25,0.54,0.54,1.44,0.0,0.11,0.02,0.06,0.04,0.12,0.21,0.0,-,0.0,0.44,0.0,2.89,0.86,0.61,0.55,0.22,0.33,-,10.9,-,-,4.8,3.81,1.6,13.71,13.71,1.52,1.81,18.49,-,13.15,11.78,11.33,13.83,7.56,-,12.67,12.98,-,-,7.21,6.57,0.1,0.88,1.61,0.98,0.15,0.15,0.0,6.31,7.09,7.33,7.22,17.31,18.04,14.61,12.02,-,-,-,7.51,-,9.89,14.5,-,4.64,-,18.57,16.07,16.2,11.09,17.04,16.65,-,-,22.03,18.01,14.54,8.19,-,6.61,-,4.06,-,-,-,-,-,-,3.72,2.19,-
2020-05-16 14:00 - 16:00,705.34,1.37,2.34,-,7.25,-,4.94,0.03,-,0.93,0.9,1.18,1.46,0.83,0.5,0.0,0.02,0.44,0.14,0.0,0.59,0.65,-,-,0.29,0.0,0.41,0.39,3.91,4.35,0.31,0.25,5.25,6.71,0.65,-,1.32,1.39,0.91,1.84,-,7.29,0.0,0.0,0.39,0.39,4.99,6.8,0.42,0.85,0.86,0.74,-,0.86,0.29,0.63,7.97,-,4.73,4.41,4.54,5.01,5.23,7.96,0.12,0.0,0.14,0.3,-,0.38,-,0.1,0.0,0.74,0.81,1.36,1.39,0.32,0.63,0.68,1.44,0.0,0.09,0.02,0.06,0.05,0.12,0.21,0.0,-,0.0,0.54,0.0,3.31,0.93,0.69,0.63,0.24,0.35,0.0,13.61,17.05,-,5.63,4.57,2.0,-,-,1.49,2.47,21.99,-,15.69,13.88,12.83,15.95,10.44,10.24,15.21,15.59,-,-,7.59,7.7,0.16,1.04,2.08,1.0,0.15,0.15,0.0,7.27,7.5,8.18,7.94,19.46,21.3,16.68,14.34,11.51,11.34,6.62,8.54,-,11.1,14.5,-,4.99,-,20.06,16.48,16.61,11.9,18.25,17.03,-,-,24.71,19.49,16.0,8.19,9.96,7.32,6.65,4.32,-,-,-,-,-,-,4.29,2.66,-
2020-05-16 16:00 - 18:00,765.53,1.37,2.34,-,7.25,-,4.94,0.02,-,0.99,0.9,1.22,1.5,0.86,0.54,0.0,0.03,0.44,0.14,0.0,0.62,0.73,0.05,0.0,0.29,0.0,0.41,0.42,3.91,4.35,0.33,0.25,5.48,6.74,0.67,-,1.33,1.39,0.91,1.94,-,7.4,0.0,0.0,0.38,0.39,4.99,6.81,0.42,0.85,0.8,0.74,-,0.86,0.29,0.63,-,-,5.09,4.47,4.96,5.3,5.23,7.96,0.14,0.0,0.13,0.32,-,0.38,-,0.12,0.0,0.76,0.81,1.57,1.45,0.32,0.64,0.68,1.4,0.0,0.09,0.01,0.07,0.05,0.08,0.19,0.0,-,0.0,0.54,0.0,3.31,1.01,0.74,0.67,0.24,0.41,0.0,15.23,17.05,-,6.19,4.93,2.19,18.02,18.02,1.47,2.47,22.71,17.19,16.78,14.75,13.64,17.24,10.44,11.05,15.47,16.87,-,-,7.72,7.7,0.18,1.04,2.16,1.0,0.13,0.06,0.0,7.66,7.7,8.52,8.51,20.41,22.84,17.57,15.1,12.54,11.51,6.62,8.95,-,12.02,14.53,-,5.59,-,20.06,16.94,16.72,12.09,18.9,17.03,-,-,24.77,19.83,16.0,-,9.96,7.45,6.65,4.32,-,-,-,-,-,-,4.29,2.68,-
2020-05-16 18:00 - 20:00,717.83,1.44,2.46,-,7.08,-,5.23,0.02,-,0.99,0.9,1.34,1.5,0.88,0.57,0.0,0.03,0.44,0.19,0.0,0.67,0.84,0.05,0.0,0.29,0.0,0.43,0.58,3.91,4.44,0.38,0.28,5.48,6.96,0.69,-,1.37,1.4,0.84,1.94,-,7.4,0.0,0.0,0.46,0.39,4.87,7.09,0.39,0.9,0.79,0.81,-,0.84,0.29,0.63,-,-,5.66,4.77,4.96,5.3,5.07,6.74,0.14,0.0,0.1,0.32,-,0.34,-,0.13,0.0,0.76,0.7,1.67,1.45,0.34,0.64,0.7,1.5,0.0,0.07,0.02,0.07,0.04,0.13,0.2,0.0,-,0.0,0.55,0.0,3.41,1.01,0.74,0.73,0.27,0.41,-,15.23,-,-,6.19,4.93,2.19,18.02,18.02,1.58,2.23,22.71,17.19,16.78,14.75,13.64,17.24,10.32,11.05,16.05,17.03,-,-,8.15,7.3,0.18,0.95,2.16,1.0,0.17,0.06,0.0,8.13,7.73,8.52,8.51,20.41,22.84,17.57,15.1,12.54,11.51,-,8.95,-,12.14,15.81,-,5.59,-,20.71,17.66,17.58,12.48,18.9,17.44,-,-,24.77,21.07,-,-,-,7.64,-,4.65,-,-,-,-,-,-,4.34,2.68,-
2020-05-16 20:00 - 22:00,792.43,1.49,2.46,-,7.4,-,5.46,0.03,-,1.01,0.86,1.34,1.47,0.94,0.58,0.0,0.02,0.45,0.22,0.0,0.69,0.84,-,0.0,0.29,0.0,0.49,0.59,4.21,4.55,0.38,0.28,5.66,7.35,0.69,-,1.37,1.46,0.81,1.91,-,7.51,0.0,0.0,0.46,0.39,5.02,7.17,0.45,0.98,0.8,0.86,-,0.91,0.29,0.61,-,-,5.84,5.07,4.75,5.36,4.77,6.79,0.15,0.0,0.1,0.32,-,0.34,-,0.13,0.0,0.75,0.78,1.67,1.42,0.35,0.61,0.7,1.5,0.0,0.08,0.02,0.07,0.05,0.13,0.25,0.0,-,0.0,0.55,0.0,3.41,1.0,0.74,0.73,0.27,0.47,0.0,15.48,19.35,-,6.1,4.92,2.15,-,-,1.58,2.08,22.6,17.23,16.52,14.61,13.26,17.49,-,-,16.67,17.82,11.57,12.47,8.48,7.93,0.1,0.95,2.18,0.87,0.18,0.06,0.0,8.37,7.89,9.04,9.67,20.18,22.7,17.93,14.2,-,-,-,8.71,12.53,13.2,15.96,14.38,5.67,-,21.21,18.7,18.64,12.85,20.01,18.0,19.39,11.04,24.91,21.43,16.4,9.51,10.49,7.85,7.28,4.68,-,-,-,-,-,-,4.34,2.67,-
2020-05-16 22:00 - 24:00,873.31,1.49,2.41,-,7.4,-,5.46,0.04,-,1.01,0.86,1.27,1.4,0.94,0.58,0.0,0.01,0.45,0.22,0.0,0.69,0.78,0.04,0.0,0.27,0.0,0.49,0.59,4.21,4.55,0.32,0.28,5.66,7.35,0.69,-,1.34,1.46,0.81,1.72,-,7.51,0.0,0.0,0.35,0.39,5.02,7.17,0.45,0.98,0.8,0.86,-,0.91,0.29,0.61,7.88,-,5.84,5.07,4.75,5.36,4.77,6.79,0.15,0.0,0.09,0.32,-,0.34,-,0.1,0.0,0.75,0.78,1.55,1.42,0.35,0.6,0.65,1.46,0.0,0.09,0.02,0.07,0.05,0.11,0.25,0.0,-,0.0,0.47,0.0,3.36,1.0,0.74,0.72,0.25,0.47,0.0,15.48,19.35,-,6.1,4.92,2.15,15.77,15.77,1.58,2.08,22.4,17.23,16.52,14.61,13.26,17.49,8.96,9.31,16.67,17.82,11.57,12.47,8.48,7.93,0.1,0.92,2.18,0.85,0.21,0.06,0.0,8.37,7.89,9.04,9.67,20.18,22.7,17.93,14.11,9.9,9.82,4.92,8.54,12.53,13.2,15.96,14.38,5.67,-,21.21,18.7,18.64,12.85,20.01,18.0,19.39,11.04,24.91,21.43,16.4,9.51,10.49,7.85,7.28,4.68,-,-,-,-,-,-,4.33,2.67,-
2020-05-17 00:00 - 02:00,721.69,1.29,2.27,6.2,6.87,-,4.77,0.04,-,0.93,0.82,1.01,1.26,0.76,0.49,0.0,0.01,0.35,0.17,0.0,0.55,0.6,0.04,0.0,0.23,0.0,0.38,0.43,3.72,3.99,0.31,0.22,5.34,6.72,0.55,-,1.1,1.25,0.73,1.64,5.63,6.97,0.0,0.0,0.35,0.37,4.18,5.83,0.31,0.82,0.65,0.74,6.09,0.74,0.29,0.49,7.88,-,5.08,4.11,4.32,4.85,3.81,5.36,0.09,0.0,0.08,0.24,-,0.23,-,0.08,0.0,0.61,0.63,1.16,1.17,0.27,0.39,0.49,1.1,0.0,0.09,0.01,0.07,0.02,0.11,0.14,0.0,-,0.0,0.35,0.0,3.11,0.9,0.55,0.61,0.19,0.36,-,13.25,15.71,-,5.34,4.17,1.53,15.77,15.77,1.34,1.72,18.94,14.77,14.33,12.98,12.04,15.41,8.96,9.31,13.77,15.4,-,-,7.32,7.25,0.08,0.92,1.82,0.81,0.21,0.04,0.0,7.89,7.1,-,8.73,15.86,19.77,15.75,12.4,9.9,9.82,4.92,8.23,11.47,12.5,14.26,13.01,5.21,-,18.05,16.56,16.12,11.98,18.81,16.52,-,-,22.8,18.67,13.79,7.83,-,7.31,-,4.08,-,-,-,-,-,-,4.08,2.23,-
2020-05-17 02:00 - 04:00,333.82,0.68,1.26,6.2,4.35,-,2.72,0.01,-,0.67,0.58,0.66,0.76,0.42,0.31,0.0,0.01,0.16,0.04,0.0,0.25,0.32,-,-,0.12,0.0,0.23,0.2,2.29,2.42,0.19,0.16,3.19,3.71,0.27,-,0.59,0.57,0.35,1.0,5.63,3.87,0.0,0.0,0.25,0.26,3.5,3.53,0.26,0.44,0.3,0.34,6.09,0.4,0.13,0.23,5.75,-,2.64,2.25,3.04,2.85,1.81,2.8,0.05,0.0,0.04,0.09,-,0.1,-,0.07,0.0,0.27,0.38,0.59,0.52,0.11,0.27,0.26,0.72,0.0,0.05,0.01,0.03,0.01,0.08,0.1,0.0,-,0.0,0.19,0.0,2.22,0.48,0.23,0.27,0.11,0.16,-,6.86,-,-,3.0,2.16,0.8,-,-,0.54,0.51,10.04,-,7.45,7.09,6.41,8.52,-,-,8.13,8.43,-,-,4.77,4.4,0.08,0.59,1.24,0.58,0.12,0.03,0.0,5.1,4.25,-,-,9.57,10.23,8.52,6.59,-,-,-,4.63,-,7.57,8.09,-,3.37,-,11.5,10.05,9.31,7.55,11.54,10.04,-,-,13.42,11.43,-,-,-,4.45,-,2.0,-,-,-,-,-,-,2.82,1.51,-
2020-05-17 04:00 - 06:00,137.83,0.4,0.58,3.03,2.0,-,1.07,0.01,-,0.3,0.27,0.19,0.3,0.16,0.11,0.0,0.0,0.15,0.01,0.0,0.11,0.15,-,-,0.06,0.0,0.09,0.07,1.21,1.06,0.09,0.07,1.34,1.72,0.14,-,0.23,0.36,0.14,0.56,2.41,1.65,0.0,0.0,0.13,0.13,0.88,1.58,0.2,0.17,0.13,0.17,2.66,0.18,0.04,0.14,2.16,-,1.18,0.81,1.05,1.3,0.84,1.61,0.02,0.0,0.02,0.09,-,0.05,-,0.06,0.0,0.13,0.25,0.38,0.24,0.05,0.07,0.21,0.37,0.0,0.04,0.0,0.02,0.01,0.02,0.08,0.0,-,0.0,0.1,0.0,0.85,0.23,0.13,0.14,0.04,0.1,-,2.65,-,-,1.1,0.86,0.47,-,-,0.47,0.49,3.9,-,3.19,2.63,2.86,3.58,-,-,3.54,3.49,-,-,2.33,1.92,0.02,0.28,0.59,0.41,0.09,0.01,0.0,2.36,1.8,-,-,3.78,4.01,3.51,2.62,-,-,-,1.88,-,2.17,2.29,-,0.71,-,4.54,3.84,2.71,3.18,5.08,3.89,-,-,6.09,4.72,-,-,-,2.11,-,0.77,-,-,-,-,-,-,1.45,0.34,-
2020-05-17 06:00 - 08:00,248.95,0.65,1.14,3.67,2.58,-,2.25,0.01,-,0.37,0.43,0.51,0.59,0.37,0.18,0.0,0.0,0.18,0.01,0.0,0.26,0.28,-,-,0.13,0.0,0.17,0.24,1.92,2.05,0.13,0.09,2.39,2.65,0.3,-,0.54,0.61,0.27,0.66,4.13,2.98,0.0,0.0,0.17,0.24,2.1,2.79,0.27,0.38,0.34,0.43,4.1,0.35,0.09,0.32,3.64,-,2.47,1.94,1.72,2.02,1.96,2.62,0.05,0.0,0.03,0.15,-,0.14,-,0.09,0.0,0.36,0.4,0.77,0.64,0.14,0.31,0.34,0.8,0.0,0.05,0.0,0.02,0.04,0.04,0.13,0.0,-,0.0,0.25,0.0,1.44,0.46,0.38,0.27,0.11,0.16,-,6.39,-,-,2.63,1.87,1.0,-,-,0.84,0.98,9.66,-,6.58,5.44,5.65,6.98,-,-,6.15,6.28,-,-,2.9,2.62,0.04,0.43,0.72,0.25,0.13,0.02,0.0,2.61,2.9,-,-,8.47,8.98,6.99,5.57,-,-,-,3.75,-,4.46,5.75,-,1.83,-,7.68,6.42,6.9,4.35,6.67,6.43,-,-,8.75,7.13,-,-,-,2.94,-,2.12,-,-,-,-,-,-,1.63,0.8,-
2020-05-17 08:00 - 10:00,467.76,1.03,1.65,6.65,4.96,-,3.43,0.02,-,0.71,0.62,0.76,0.8,0.57,0.4,0.0,0.0,0.27,-,-,0.52,0.48,0.05,0.0,0.22,0.0,0.24,0.31,2.72,3.02,0.21,0.17,3.6,4.76,0.49,-,0.97,0.97,0.53,1.17,6.92,4.92,0.0,0.0,0.31,0.26,3.45,4.34,0.34,0.56,0.55,0.58,7.28,0.51,0.13,0.44,6.15,-,3.66,3.11,2.64,3.15,3.09,3.85,0.1,0.0,0.11,0.24,-,0.27,-,0.1,0.0,0.5,0.56,1.01,0.88,0.17,0.45,0.45,1.02,0.0,0.07,0.01,0.03,0.06,0.05,0.13,0.0,-,0.0,0.3,0.0,2.31,0.64,0.53,0.41,0.17,0.27,-,8.93,-,-,3.77,2.81,1.63,11.67,11.67,0.99,1.8,14.04,-,9.95,8.21,7.85,10.65,-,-,9.7,9.87,-,-,4.96,4.56,0.06,0.63,1.32,0.47,0.13,0.04,0.0,4.66,5.29,5.24,5.46,12.39,12.87,10.57,8.87,-,-,-,5.4,-,8.16,10.02,-,3.58,-,13.7,11.47,12.02,7.7,11.82,11.83,-,-,15.79,12.9,11.46,6.44,6.74,5.16,5.07,3.52,-,-,-,-,-,-,3.01,1.52,-
2020-05-17 10:00 - 12:00,544.0,1.26,1.81,7.93,5.86,-,4.12,0.03,-,0.86,0.82,0.95,0.97,0.66,0.53,0.0,0.01,0.27,-,-,0.53,0.62,0.05,0.0,0.24,0.0,0.41,0.39,3.22,3.59,0.23,0.21,4.32,5.42,0.56,-,1.14,1.23,0.66,1.36,6.92,5.65,0.0,0.0,0.41,0.28,3.59,4.78,0.35,0.67,0.65,0.66,7.28,0.69,0.26,0.44,7.64,-,4.45,3.72,3.22,4.08,3.6,4.57,0.1,0.0,0.11,0.25,-,0.29,-,0.14,0.0,0.55,0.62,1.32,1.06,0.29,0.45,0.5,1.15,0.0,0.14,0.01,0.07,0.06,0.07,0.19,0.0,-,0.0,0.36,0.0,2.92,0.72,0.59,0.62,0.21,0.29,-,10.27,-,-,4.29,3.4,1.85,11.67,11.67,1.61,1.8,15.96,-,12.09,9.73,9.16,12.15,-,-,11.09,11.43,-,-,6.26,5.6,0.07,0.71,1.52,0.65,0.09,0.08,0.0,5.52,6.3,5.24,5.46,14.27,15.13,11.93,9.59,-,-,-,6.43,-,9.86,12.76,-,4.74,-,16.94,13.94,14.44,10.67,14.94,14.55,-,-,19.56,15.88,11.46,6.44,6.74,6.1,5.07,3.81,-,-,-,-,-,-,3.76,2.05,-
2020-05-17 12:00 - 14:00,692.24,1.36,2.15,7.93,6.67,-,4.65,0.03,-,0.92,0.82,0.95,1.14,0.75,0.53,0.0,0.01,0.26,0.15,0.0,0.56,0.69,0.05,0.0,0.26,0.0,0.42,0.4,3.62,3.85,0.24,0.27,5.81,5.42,0.68,-,1.22,1.26,0.66,1.43,-,6.64,0.0,0.0,0.41,0.3,3.97,5.59,0.38,0.72,0.74,0.7,-,0.72,0.3,0.53,7.96,-,4.93,4.1,3.6,4.28,3.87,4.95,0.2,0.0,0.1,0.25,-,0.29,-,0.14,0.0,0.63,0.62,1.33,1.15,0.3,0.43,0.58,1.21,0.0,0.15,0.01,0.07,0.05,0.12,0.19,0.0,-,0.0,0.45,0.0,3.16,0.84,0.59,0.71,0.21,0.29,0.0,11.12,-,-,4.61,3.64,1.85,14.3,14.3,1.61,1.88,18.36,14.31,13.0,11.36,10.56,13.59,8.64,8.91,11.61,13.28,8.52,9.3,6.72,6.78,0.08,0.82,1.52,0.85,0.09,0.08,0.0,6.23,7.17,7.18,7.38,15.8,17.48,14.11,11.04,9.82,9.49,4.93,7.58,-,9.86,13.88,-,5.15,-,18.83,15.94,16.48,11.51,17.51,15.85,17.31,-,22.69,18.21,14.66,8.19,8.91,6.62,6.37,4.19,-,-,-,-,-,-,4.02,2.22,-
2020-05-17 14:00 - 16:00,756.39,1.39,2.3,-,7.11,-,4.97,0.04,-,1.03,0.95,1.15,1.46,0.78,0.55,0.0,0.02,0.32,0.19,0.0,0.64,0.73,0.05,0.0,0.3,0.0,0.45,0.4,3.8,4.2,0.31,0.27,6.25,5.64,0.68,-,1.34,1.31,0.85,1.56,-,7.02,0.0,0.0,0.41,0.41,4.74,6.39,0.38,0.78,0.75,0.75,-,0.72,0.3,0.57,7.96,-,5.15,4.12,4.14,4.72,5.23,6.23,0.2,0.0,0.11,0.28,-,0.32,-,0.1,0.0,0.71,0.63,1.5,1.27,0.35,0.51,0.73,1.25,0.0,0.15,0.01,0.05,0.04,0.12,0.24,0.0,-,0.0,0.51,0.0,3.23,0.97,0.62,0.79,0.22,0.35,0.0,14.77,-,-,5.56,4.88,1.97,17.38,17.38,1.45,1.88,21.59,16.4,15.43,14.24,12.97,16.36,8.64,8.91,15.06,15.86,8.52,9.3,7.48,7.51,0.1,0.98,1.97,0.85,0.1,0.05,0.0,7.13,7.38,7.18,7.38,18.5,20.7,15.64,13.05,9.82,9.49,4.93,8.61,-,11.41,14.61,-,5.39,-,19.66,16.91,17.21,12.34,19.07,17.2,17.76,-,24.48,19.57,14.66,8.19,8.91,7.29,6.37,4.36,-,-,-,-,-,-,4.02,2.47,-
2020-05-17 16:00 - 18:00,834.21,1.39,2.3,-,7.11,-,4.97,0.05,-,1.03,0.95,1.25,1.46,0.79,0.55,0.0,0.02,0.32,0.19,0.0,0.65,0.75,0.06,0.0,0.3,0.0,0.46,0.42,4.04,4.2,0.31,0.25,6.29,5.96,0.72,-,1.37,1.33,0.88,1.79,-,7.02,0.0,0.0,0.38,0.41,5.24,6.84,0.44,0.78,0.75,0.75,-,0.72,0.21,0.62,-,-,5.15,4.28,4.27,4.93,5.23,6.46,0.12,0.0,0.11,0.28,-,0.32,-,0.11,0.0,0.71,0.68,1.5,1.34,0.35,0.51,0.73,1.51,0.0,0.15,0.01,0.05,0.04,0.09,0.24,0.0,-,0.0,0.56,0.0,3.23,0.97,0.62,0.79,0.23,0.37,0.0,15.12,17.7,-,5.87,5.29,1.97,17.92,17.92,1.42,1.86,21.59,16.85,16.22,14.24,12.97,16.5,10.15,10.0,15.29,17.11,10.33,11.54,7.48,7.66,0.1,1.04,2.01,0.82,0.1,0.05,0.0,7.28,7.44,8.21,8.69,20.02,21.68,17.35,13.88,12.49,11.49,6.37,8.86,11.03,12.21,15.09,13.05,5.39,-,19.73,17.37,17.21,12.64,19.07,17.29,17.98,10.02,24.48,19.84,15.23,8.55,9.9,7.29,6.57,4.36,-,-,-,-,-,-,4.14,2.59,-
2020-05-17 18:00 - 20:00,834.66,1.43,2.35,-,6.74,-,4.99,0.04,-,0.95,0.84,1.25,1.39,0.83,0.49,0.0,0.01,0.31,0.18,0.0,0.6,0.75,0.06,0.0,0.28,0.0,0.46,0.47,3.93,4.19,0.29,0.25,6.23,5.72,0.69,-,1.35,1.31,0.8,1.79,-,7.16,0.0,0.0,0.37,0.38,5.24,6.84,0.39,0.84,0.82,0.73,-,0.67,0.2,0.59,7.96,-,5.08,4.39,4.21,4.81,4.73,6.24,0.13,0.0,0.07,0.25,-,0.29,-,0.12,0.0,0.67,0.71,1.47,1.28,0.28,0.52,0.66,1.51,0.0,0.13,0.01,0.05,0.04,0.08,0.22,0.0,-,0.0,0.56,0.0,3.26,0.87,0.62,0.7,0.25,0.37,0.0,14.5,17.7,-,5.87,4.93,1.93,17.38,17.38,1.48,1.99,21.51,16.85,16.22,14.16,12.81,16.5,10.15,9.86,14.92,16.23,10.26,11.54,7.53,7.58,0.08,1.04,2.01,0.88,0.11,0.06,0.0,7.28,7.44,8.21,8.69,20.02,21.68,17.35,13.88,12.4,11.49,6.37,8.86,11.03,12.21,15.09,13.09,5.33,-,19.73,17.37,16.99,12.64,18.83,17.51,17.4,9.88,24.08,19.84,14.82,8.55,9.9,7.34,6.57,4.75,-,-,-,-,-,-,4.24,2.59,-
