Fecha,Total,Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routeresmeraldas),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routermanta),Vlan200(routermanta),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routerpasaje),Vlan200(routerpasaje),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routerriobamba),Vlan200(routerriobamba),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerbalsas),Vlan100(routerqvdo),Vlan200(routerbalsas),Vlan200(routerqvdo),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routeralausi),Vlan200(routeralausi),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routertena),Vlan200(routertena),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routeresmeraldas2),Vlan200(routeresmeraldas2),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan100(routermontecristi),Vlan200(routermontecristi)
2020-06-16 20:00 - 22:00,845.72,0.44,0.28,2.19,2.01,0.86,0.79,0.0,0.0,3.9,4.8,0.11,0.68,-,0.44,0.94,1.56,1.5,1.29,1.37,5.89,4.88,0.31,0.35,1.82,2.18,5.07,7.02,0.85,0.93,-,5.03,0.95,0.99,1.04,1.67,-,7.99,-,7.0,0.81,0.77,0.0,-,0.2,0.0,0.07,0.0,-,6.95,0.37,0.54,7.73,7.78,0.0,0.01,4.48,6.83,0.48,0.56,0.44,-,0.0,0.0,0.23,0.0,0.12,0.0,0.31,0.0,0.15,5.45,0.0,6.86,0.06,-,4.65,5.46,0.76,0.74,-,-,0.48,1.16,0.93,0.2,0.38,-,0.97,1.36,1.12,1.43,0.01,0.04,0.56,0.0,0.04,0.11,0.83,0.67,0.67,0.29,0.07,0.06,3.05,5.12,20.04,15.41,18.03,10.05,12.12,14.79,14.8,17.38,-,5.81,4.38,1.95,17.2,17.2,17.98,21.93,16.8,13.79,12.19,11.23,5.84,8.07,9.95,9.63,11.85,18.91,11.21,9.88,6.88,7.36,7.91,9.03,12.83,12.67,13.46,15.25,5.69,2.5,20.97,21.08,16.51,8.22,9.93,6.9,7.23,4.19,14.47,18.04,23.5,9.21,19.78,19.77,17.31,8.82,7.47,6.8,0.59,0.59,1.77,0.8,0.09,0.05,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-16 22:00 - 24:00,837.19,0.29,0.28,2.06,1.99,0.81,0.79,0.0,0.0,3.9,4.8,0.11,0.68,-,0.42,0.9,1.44,1.39,1.21,1.35,5.7,4.82,0.31,0.4,1.7,1.92,4.8,7.02,0.76,0.88,-,4.75,0.93,0.98,1.02,1.59,7.8,7.89,7.97,7.0,0.78,0.73,0.0,-,0.16,0.0,0.07,0.0,-,6.95,0.35,0.53,7.83,7.94,0.01,0.0,4.4,6.47,0.4,0.46,0.42,-,0.0,0.0,0.23,0.0,0.12,0.0,0.3,0.0,0.13,5.38,0.0,6.78,0.03,-,4.64,5.38,0.66,0.72,-,-,0.47,1.16,0.9,0.2,0.27,-,0.85,1.25,1.08,1.34,0.01,0.03,0.52,0.0,0.04,0.1,0.82,0.64,0.69,0.26,0.04,0.07,2.98,5.12,19.18,15.09,17.21,9.73,11.74,14.9,14.62,17.11,-,5.61,4.31,1.87,16.76,16.76,14.79,20.68,15.75,11.6,11.17,10.35,5.51,7.77,9.7,9.52,11.61,18.6,10.71,9.88,6.98,7.36,7.91,8.69,12.45,12.35,13.03,14.62,5.43,2.5,20.85,21.08,15.92,7.54,9.87,6.9,6.84,3.97,14.47,18.04,23.5,9.21,19.78,19.77,17.31,8.82,7.37,6.8,0.53,0.61,1.77,0.8,0.08,0.05,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 00:00 - 02:00,573.09,0.19,0.18,1.47,1.31,0.43,0.46,0.0,0.0,3.02,3.41,0.09,0.41,-,0.32,0.73,0.69,0.65,0.71,0.86,3.53,3.0,0.21,0.29,1.03,1.15,3.42,4.44,0.52,0.56,-,3.36,0.68,0.74,0.72,1.07,6.84,6.32,7.28,5.21,0.43,0.54,0.0,0.0,0.11,0.0,0.02,0.0,7.72,4.75,0.24,0.33,6.14,6.25,0.05,0.0,2.62,4.1,0.3,0.39,0.29,-,0.0,0.0,0.15,0.0,0.09,0.0,0.19,0.0,0.08,3.55,0.0,4.51,0.02,-,3.22,3.75,0.44,0.43,-,-,0.28,0.78,0.57,0.12,0.15,-,0.48,0.64,0.84,0.86,0.01,0.01,0.28,0.0,0.04,0.07,0.53,0.38,0.38,0.14,0.04,0.02,1.98,3.92,13.18,8.78,11.22,6.25,7.85,9.91,8.28,10.29,-,3.41,2.61,0.97,9.6,9.6,8.92,12.75,9.55,6.96,7.09,6.36,3.59,5.31,6.33,6.61,7.12,12.24,7.35,6.29,5.56,5.09,5.71,5.78,8.17,9.33,9.29,10.05,3.77,1.69,15.31,14.92,10.81,5.14,7.09,5.11,4.57,2.47,9.97,12.65,16.09,7.27,14.22,14.51,11.75,6.52,5.34,5.23,0.48,0.35,1.13,0.6,0.05,0.03,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 02:00 - 04:00,299.08,0.11,0.17,1.04,0.61,0.32,0.22,0.0,0.0,1.74,2.13,0.04,0.21,-,0.13,0.34,0.38,0.39,0.28,0.36,1.64,1.24,0.22,0.2,0.62,0.54,1.58,2.43,0.28,0.23,-,1.6,0.49,0.52,0.51,0.74,3.61,3.74,4.85,3.13,0.25,0.22,0.0,0.0,0.11,0.0,0.01,0.0,3.72,2.55,0.24,0.16,2.98,2.95,0.05,0.0,1.27,2.22,0.15,0.13,0.11,-,0.0,0.0,0.08,0.0,0.05,0.0,0.12,0.0,0.03,1.97,0.0,2.09,0.01,-,1.86,2.33,0.2,0.19,-,-,0.07,0.28,0.39,0.04,0.1,-,0.24,0.32,0.36,0.4,0.0,0.01,0.27,0.0,0.04,0.04,0.39,0.18,0.18,0.08,0.01,0.01,0.9,2.13,5.92,3.7,5.54,3.28,4.62,4.96,4.38,4.74,-,1.91,1.19,0.39,4.97,4.97,4.78,6.51,4.77,3.76,3.38,3.22,2.17,2.82,3.28,3.21,3.28,6.03,3.52,3.55,3.64,2.67,3.33,3.56,4.61,4.75,4.71,4.93,1.94,1.39,8.41,8.2,4.86,2.09,3.63,2.84,1.88,0.97,5.47,6.32,7.26,4.55,8.12,7.27,5.95,3.57,3.21,2.97,0.28,0.29,0.6,0.55,0.17,0.02,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 04:00 - 06:00,180.07,0.06,0.09,0.66,0.41,0.17,0.15,0.0,0.0,1.06,1.31,0.04,0.1,-,0.15,0.14,0.42,0.26,0.33,0.23,1.26,0.97,0.08,0.15,0.47,0.69,0.99,1.34,0.23,0.19,-,1.05,0.24,0.22,0.24,0.43,2.01,2.14,2.09,1.71,0.18,0.14,0.0,0.0,0.1,0.0,0.01,0.0,1.68,1.49,0.12,0.18,2.23,2.07,0.0,0.0,0.88,1.64,0.08,0.09,0.12,-,0.0,0.0,0.16,0.0,0.02,0.0,0.05,0.0,0.05,0.89,0.0,1.42,0.05,-,1.17,0.94,0.16,0.14,-,-,0.06,0.3,0.15,0.04,0.07,-,0.29,0.34,0.24,0.37,0.0,0.01,0.14,0.0,0.01,0.03,0.29,0.12,0.11,0.04,0.01,0.01,0.58,1.08,4.43,3.38,3.98,2.02,2.84,3.48,3.66,4.26,-,1.27,0.82,0.39,3.98,3.98,3.03,4.05,2.89,2.54,2.27,1.71,1.31,1.58,2.0,1.99,2.19,4.21,2.52,2.31,1.84,1.46,1.96,2.03,3.44,3.63,2.33,2.93,1.37,0.78,3.54,4.21,2.7,1.35,1.86,1.41,1.23,0.77,2.22,3.29,4.02,1.83,3.43,3.17,2.5,1.32,1.48,1.16,0.22,0.25,0.39,0.24,0.09,0.01,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 06:00 - 08:00,524.85,0.2,0.15,1.4,1.28,0.51,0.36,0.0,0.0,2.64,3.28,0.11,0.42,-,0.37,0.51,1.07,0.8,0.82,0.85,3.93,3.28,0.18,0.32,1.17,1.41,3.95,4.59,0.59,0.53,-,2.82,0.65,0.62,0.52,1.12,6.27,6.82,5.89,4.11,0.53,0.37,0.0,0.0,0.12,0.0,0.06,0.0,5.68,4.03,0.19,0.34,7.06,6.09,0.0,0.0,2.96,4.26,0.33,0.4,0.33,-,0.0,0.01,0.22,0.0,0.07,0.0,0.21,0.0,0.1,3.01,0.0,4.17,0.05,-,2.89,3.12,0.4,0.54,-,-,0.29,0.74,0.57,0.11,0.15,-,0.85,1.29,0.8,0.94,0.01,0.02,0.28,0.0,0.02,0.09,0.77,0.47,0.39,0.12,0.03,0.07,1.67,2.49,12.04,9.72,10.56,6.26,7.7,10.51,9.65,11.61,-,3.59,3.04,1.21,12.48,12.48,10.16,11.99,10.05,7.98,6.97,7.13,3.89,5.1,6.13,5.76,6.92,12.11,6.62,6.72,4.35,4.09,5.0,5.81,8.46,9.5,7.13,8.34,3.91,1.91,11.44,11.69,8.69,4.17,5.75,4.37,3.68,2.1,7.19,8.91,10.33,5.29,9.77,9.3,7.82,4.14,3.76,3.57,0.52,0.37,1.05,0.5,0.15,0.08,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 08:00 - 10:00,660.51,0.4,0.25,1.75,1.71,0.57,0.45,0.0,0.0,3.42,3.77,0.1,0.6,-,0.46,0.68,1.19,1.04,1.04,1.11,5.01,3.76,0.24,0.38,1.32,1.81,4.15,5.54,0.62,0.63,-,4.04,0.84,0.85,0.9,1.52,7.65,7.46,7.75,5.29,0.64,0.6,0.0,0.0,0.17,0.0,0.05,0.0,7.95,5.62,0.26,0.48,7.98,7.87,0.04,0.01,3.54,5.04,0.41,0.4,0.61,-,0.0,0.01,0.25,0.0,0.16,0.0,0.35,0.0,0.19,4.22,0.0,5.04,0.02,-,3.55,4.17,0.6,0.63,-,-,0.34,0.88,0.97,0.18,0.22,-,0.85,1.29,1.1,1.43,0.04,0.03,0.4,0.0,0.03,0.1,0.87,0.6,0.61,0.29,0.04,0.07,2.34,4.05,14.63,10.88,12.85,7.03,9.4,11.86,11.69,13.4,-,4.27,3.7,1.51,13.7,13.7,12.86,15.24,12.17,10.16,8.96,8.22,4.22,5.99,7.76,7.88,8.72,14.59,8.81,7.4,5.67,5.58,5.96,6.61,8.68,11.05,9.38,10.78,4.44,2.12,15.28,16.34,11.51,5.38,7.04,5.26,4.99,2.84,10.66,12.04,15.7,6.52,13.43,13.74,11.23,6.32,5.39,5.36,0.73,0.55,1.51,0.65,0.12,0.08,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 10:00 - 12:00,691.49,0.4,0.24,1.96,1.71,0.77,0.51,0.0,0.0,3.42,4.12,0.11,0.6,-,0.39,0.82,1.13,1.05,1.2,1.26,5.1,3.86,0.3,0.48,1.44,1.66,4.16,5.66,0.7,0.63,-,4.04,0.82,0.87,0.94,1.63,7.86,7.76,7.97,5.91,0.68,0.59,0.0,0.0,0.17,0.0,0.06,0.0,7.99,5.62,0.31,0.4,7.98,7.93,0.04,0.01,3.54,5.64,0.41,0.41,0.61,-,0.0,0.01,0.24,0.0,0.12,0.0,0.35,0.0,0.19,4.25,0.0,5.38,0.03,-,3.68,4.22,0.6,0.63,-,-,0.34,0.98,0.97,0.18,0.22,-,0.94,1.2,1.05,1.43,0.03,0.02,0.44,0.0,0.03,0.09,0.85,0.53,0.61,0.29,0.04,0.08,2.54,4.05,14.86,13.88,12.96,7.28,9.82,11.97,11.5,13.26,-,4.27,3.66,1.67,13.7,13.7,13.01,16.51,13.06,10.48,8.96,8.46,4.09,6.74,8.29,7.88,8.83,15.24,8.81,7.53,5.97,6.0,6.44,6.28,8.74,10.37,10.61,10.92,4.44,2.06,15.28,18.96,12.84,6.04,7.41,5.64,5.63,3.21,11.1,13.59,17.37,7.16,14.68,14.47,13.11,7.11,5.82,5.66,0.77,0.58,1.36,0.68,0.17,0.06,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 12:00 - 14:00,712.8,0.38,0.24,1.94,1.66,0.67,0.82,0.0,0.0,3.34,4.13,0.11,0.64,-,0.38,0.83,1.16,0.99,1.22,1.31,5.77,3.88,0.36,0.37,1.52,1.86,4.2,5.67,0.65,0.53,-,3.92,0.84,0.81,0.85,1.65,7.9,7.89,7.98,6.43,0.66,0.63,0.0,0.0,0.16,0.0,0.06,0.0,7.94,5.98,0.28,0.38,7.92,7.88,0.0,0.01,3.32,5.36,0.43,0.46,0.51,-,0.0,0.01,0.2,0.0,0.14,0.0,0.29,0.0,0.16,4.54,0.0,5.81,0.05,-,3.78,4.02,0.57,0.59,-,-,0.4,1.07,0.97,0.18,0.28,-,0.81,1.05,1.07,1.39,0.01,0.07,0.5,0.0,0.03,0.12,0.88,0.46,0.65,0.35,0.05,0.06,2.69,4.38,12.58,14.63,13.7,7.29,9.79,11.66,11.28,13.22,-,4.29,3.34,1.57,12.82,12.82,14.18,16.9,13.46,10.98,9.17,8.7,4.63,6.86,8.18,8.02,8.95,15.28,8.68,7.94,5.92,6.42,6.59,6.45,9.72,10.54,10.93,12.08,4.47,2.08,14.14,20.38,14.47,6.62,8.53,5.89,6.17,3.48,12.16,14.26,19.7,7.36,15.89,16.18,14.62,7.7,6.55,6.05,0.74,0.69,1.47,0.76,0.21,0.1,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 14:00 - 16:00,757.11,0.27,0.26,1.78,1.81,0.78,0.87,0.0,0.0,3.58,4.16,0.11,0.72,-,0.35,0.82,1.26,1.15,1.31,1.31,6.24,4.03,0.29,0.35,1.59,1.98,4.19,5.69,0.71,0.59,-,4.27,0.86,0.92,0.93,1.58,-,7.99,7.82,6.43,0.64,0.65,0.0,0.0,0.13,0.0,0.06,0.0,-,6.52,0.29,0.44,7.99,7.86,0.01,0.02,3.99,5.82,0.48,0.45,0.5,-,0.0,0.01,0.3,0.0,0.13,0.0,0.28,0.0,0.12,4.82,0.0,6.0,0.03,-,4.28,4.39,0.62,0.66,-,-,0.4,1.09,0.98,0.21,0.28,-,0.83,1.11,1.1,1.45,0.01,0.03,0.55,0.0,0.03,0.12,0.85,0.61,0.7,0.35,0.04,0.05,2.79,4.49,13.86,16.72,15.37,8.24,10.69,13.27,12.03,14.69,-,4.7,3.76,1.84,14.81,14.81,15.66,20.15,15.13,12.42,10.37,10.02,5.19,7.42,8.86,8.33,9.88,17.46,10.45,8.82,6.02,6.7,6.63,6.79,9.17,10.43,11.5,13.67,4.94,2.14,15.77,21.54,15.58,7.68,9.1,6.09,6.72,4.04,13.3,15.79,20.78,8.35,18.06,17.89,15.79,7.95,6.71,6.36,0.83,0.59,1.54,0.8,0.21,0.11,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 16:00 - 18:00,738.17,0.24,0.29,1.82,1.8,0.67,0.65,0.0,0.0,3.6,4.1,0.11,0.72,-,0.39,0.82,1.38,1.16,1.11,1.23,6.19,4.13,0.28,0.29,1.52,2.2,4.21,5.89,0.71,0.59,-,4.17,0.92,0.86,0.96,1.61,-,7.86,-,6.2,0.72,0.58,0.0,0.0,0.14,0.0,0.06,0.0,-,6.54,0.36,0.54,-,-,0.01,0.01,3.99,5.84,0.37,0.45,0.5,-,0.0,0.01,0.3,0.0,0.13,0.0,0.35,0.0,0.12,4.9,0.0,6.0,0.09,-,3.91,4.51,0.67,0.63,-,-,0.43,1.07,1.0,0.25,0.25,-,0.88,1.32,1.15,1.39,0.01,0.03,0.51,0.0,0.03,0.13,0.89,0.6,0.64,0.27,0.05,0.06,2.79,4.6,14.59,17.25,15.91,8.91,11.25,13.44,12.36,14.94,-,5.29,3.88,1.84,15.09,15.09,16.1,20.01,16.37,12.4,11.05,10.27,5.99,7.96,8.99,8.92,9.95,17.42,10.22,9.12,5.98,6.51,6.81,7.1,9.25,10.8,11.05,12.81,4.71,2.08,15.65,22.21,15.58,7.68,9.35,6.03,6.72,4.04,12.79,15.29,20.42,8.11,17.02,17.4,14.68,7.76,6.65,6.36,0.73,0.54,1.39,0.9,0.26,0.1,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 18:00 - 20:00,764.76,0.32,0.29,2.04,1.93,0.74,0.73,0.0,0.0,3.72,4.52,0.13,0.7,-,0.42,0.86,1.56,1.21,1.27,1.26,5.87,4.44,0.33,0.34,1.67,2.38,4.32,6.11,0.78,0.68,-,4.61,0.92,0.95,0.92,1.61,-,7.97,-,6.8,0.88,0.72,0.0,0.0,0.16,0.0,0.06,0.0,-,6.86,0.39,0.52,-,-,0.0,0.01,4.43,6.34,0.49,0.51,0.56,-,0.0,0.01,0.27,0.0,0.13,0.0,0.35,0.0,0.16,5.43,0.0,6.49,0.09,-,4.09,4.83,0.72,0.72,-,-,0.42,1.12,1.0,0.14,0.31,-,0.85,1.32,1.1,1.39,0.01,0.03,0.53,0.0,0.04,0.12,0.89,0.56,0.72,0.3,0.06,0.06,2.85,4.6,15.12,17.7,16.65,8.84,11.27,13.46,12.32,16.02,-,5.43,4.2,1.89,15.81,15.81,16.7,20.85,15.66,12.73,11.42,10.59,5.6,7.98,8.9,8.92,10.66,18.31,10.31,9.12,6.31,6.83,6.98,7.93,9.92,11.0,12.24,13.57,5.24,2.32,16.2,21.87,15.49,7.92,9.54,6.68,6.76,4.01,13.16,16.12,21.54,8.68,17.93,17.78,15.75,7.93,6.47,6.23,0.71,0.51,1.64,0.76,0.26,0.07,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 20:00 - 22:00,833.43,0.34,0.34,2.16,1.97,0.84,0.75,0.0,0.0,3.97,5.18,0.14,0.76,-,0.47,0.86,1.65,1.4,1.27,1.48,7.21,4.94,0.35,0.4,1.8,2.38,4.92,7.16,0.93,0.93,-,4.81,0.89,1.01,1.03,1.52,-,-,-,7.0,0.88,0.79,0.0,0.0,0.15,0.0,0.06,0.0,-,7.3,0.28,0.57,-,-,0.0,0.01,4.65,6.42,0.49,0.53,0.58,-,0.0,0.01,0.31,0.0,0.13,0.0,0.34,0.0,0.13,5.79,0.0,7.46,0.05,-,4.62,5.52,0.78,0.72,-,-,0.43,1.19,1.0,0.17,0.31,-,0.86,1.22,1.2,1.48,0.01,0.07,0.55,0.0,0.04,0.11,0.99,0.69,0.77,0.3,0.08,0.06,3.06,5.12,16.54,19.88,18.13,9.91,12.71,15.64,15.14,18.34,-,5.76,4.53,1.9,17.55,17.55,17.96,22.09,16.95,13.7,12.21,10.76,5.92,8.92,10.3,9.8,11.9,19.34,11.57,10.22,7.25,7.8,8.13,8.98,12.32,12.73,13.46,14.96,5.69,2.54,17.56,23.8,17.32,8.26,10.26,7.76,7.24,4.25,14.22,17.75,23.2,9.85,19.53,19.57,17.15,9.09,7.14,7.18,0.59,0.52,1.89,0.87,0.12,0.06,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-17 22:00 - 24:00,859.51,0.29,0.26,2.12,1.9,0.84,0.69,0.0,0.0,3.92,5.02,0.12,0.76,-,0.45,0.85,1.54,1.36,1.15,1.44,6.32,3.8,0.32,0.39,1.64,1.91,4.92,6.77,0.82,0.93,-,4.63,0.89,1.01,1.03,1.49,7.74,7.94,7.97,7.0,0.81,0.69,0.0,0.0,0.11,0.0,0.06,0.0,-,7.03,0.27,0.54,7.98,7.75,0.03,0.01,4.58,6.33,0.38,0.51,0.56,-,0.0,0.0,0.28,0.0,0.14,0.0,0.32,0.0,0.12,5.52,0.0,7.46,0.03,-,4.62,5.4,0.78,0.62,-,-,0.38,1.15,1.0,0.15,0.26,-,0.77,0.98,1.2,1.37,0.01,0.09,0.48,0.0,0.03,0.09,0.84,0.66,0.69,0.27,0.08,0.05,3.04,5.12,16.54,19.78,18.1,9.91,12.49,15.64,14.84,17.54,-,5.58,4.53,1.78,17.14,17.14,17.76,21.64,16.92,13.2,11.94,10.67,5.89,8.62,10.3,9.8,11.9,19.26,11.57,10.22,7.14,7.42,8.13,8.98,12.32,12.73,13.25,14.71,5.69,2.54,19.89,23.8,16.13,7.9,9.93,7.76,7.05,4.0,14.15,17.61,23.15,9.36,19.53,19.45,17.15,9.09,7.01,7.18,0.53,0.48,1.84,0.84,0.11,0.05,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-18 00:00 - 02:00,587.64,0.19,0.16,1.58,1.22,0.5,0.44,0.0,0.0,2.71,3.65,0.08,0.46,-,0.24,0.44,0.76,0.69,0.72,0.75,3.83,2.76,0.22,0.24,1.06,1.31,3.53,4.79,0.52,0.56,-,2.96,0.7,0.73,0.68,0.94,6.86,6.76,7.52,4.96,0.53,0.43,0.0,0.0,0.12,0.0,0.02,0.0,7.85,5.1,0.23,0.32,6.15,6.57,0.0,0.0,3.37,3.97,0.28,0.28,0.34,-,0.0,0.0,0.2,0.0,0.08,0.0,0.19,0.0,0.09,3.56,0.0,4.71,0.03,-,3.08,3.8,0.5,0.53,-,-,0.3,0.7,0.56,0.12,0.2,-,0.45,0.54,0.82,0.9,0.01,0.06,0.37,0.0,0.02,0.05,0.57,0.36,0.54,0.21,0.02,0.04,2.31,3.83,10.17,12.51,12.0,6.38,7.91,10.0,8.91,10.12,-,3.93,2.88,1.1,10.31,10.31,10.39,13.58,10.19,8.26,7.58,6.43,4.0,5.68,6.62,6.87,7.31,13.42,7.59,6.35,5.88,5.38,6.0,6.34,8.11,8.46,8.36,9.59,3.76,1.68,14.56,15.35,10.5,4.79,6.49,5.0,4.14,2.42,13.89,12.73,16.19,6.7,14.37,13.62,11.64,6.07,5.42,5.3,0.53,0.45,1.35,0.79,0.08,0.03,0.0,-,-,-,-,-,-,0.0,0.0
2020-06-18 02:00 - 04:00,234.89,0.06,0.12,0.68,0.47,0.15,0.21,0.0,0.0,1.17,1.57,0.02,0.23,-,0.09,0.16,0.29,0.23,0.34,0.26,1.47,0.97,0.14,0.16,0.44,0.48,1.4,1.86,0.23,0.23,-,1.08,0.25,0.4,0.23,0.36,2.98,2.83,3.73,2.56,0.14,0.14,0.0,0.0,0.07,0.0,0.01,0.0,2.17,1.68,0.14,0.12,2.41,2.54,0.01,0.0,1.17,1.49,0.08,0.1,0.2,-,0.0,0.0,0.11,0.0,0.03,0.0,0.06,0.0,0.02,1.35,0.0,1.81,0.01,-,1.47,1.75,0.3,0.25,-,-,0.09,0.24,0.17,0.06,0.07,-,0.12,0.23,0.31,0.28,0.0,0.03,0.15,0.0,0.02,0.02,0.23,0.14,0.21,0.09,0.01,0.01,0.83,1.92,3.89,4.58,4.73,2.47,3.55,3.74,3.08,4.09,-,1.4,0.89,0.39,3.87,3.87,3.77,5.29,4.33,3.14,2.92,2.79,1.59,2.21,2.63,2.85,3.54,4.91,3.0,2.66,2.7,2.2,2.61,2.48,3.1,3.49,3.49,4.07,1.45,0.93,6.12,6.73,3.74,1.85,2.71,2.02,1.55,0.87,3.67,5.05,5.57,2.93,7.15,5.91,4.52,2.61,2.53,2.29,0.37,0.17,0.65,0.37,0.04,0.01,0.0,-,-,-,-,-,-,0.0,0.0
